zone,startNum,endNum,startX,startY,endX,endY
BA,1,13,2795,7428,3525,7560
BA,17,14,3544,7276,3677,7560
BA,30,18,2795,7276,3525,7410
BA,31,34,2643,7276,2778,7560
BB,1,13,4003,7428,4731,7560
BB,17,14,4752,7276,4884,7560
BB,30,18,4003,7276,4731,7410
BB,31,34,3851,7276,3982,7560
BC,1,13,5207,7428,5936,7560
BC,17,14,5956,7276,6087,7560
BC,30,18,5207,7276,5936,7410
BC,31,34,5054,7276,5186,7560
BD,1,13,6360,7428,7089,7560
BD,17,14,7110,7276,7240,7560
BD,30,18,6360,7276,7089,7410
BD,31,34,6208,7276,6340,7560
BE,1,13,6360,6918,7089,7052
BE,17,14,7110,6769,7240,7052
BE,30,18,6360,6769,7089,6902
BE,31,34,6208,6769,6340,7052
BF,1,13,5207,6918,5936,7052
BF,17,14,5956,6769,6087,7052
BF,30,18,5207,6769,5936,6902
BF,31,34,5054,6769,5186,7052
BG,1,13,4003,6918,4731,7052
BG,17,14,4752,6979,4884,7052
BG,30,18,4003,6979,4731,6902
BG,31,34,3851,6979,3982,7052
BH,1,13,2795,6918,3525,7052
BH,17,14,3544,6979,3677,7052
BH,30,18,2795,6979,3525,6902
BH,31,34,2643,6979,2778,7052
BI,1,13,2795,6393,3525,6524
BI,17,14,3544,6243,3677,6524
BI,30,18,2795,6243,3525,6374
BI,31,34,2643,6243,2778,6524
BJ,1,13,4003,6393,4731,6524
BJ,17,14,4752,6243,4884,6524
BJ,30,18,4003,6243,4731,6374
BJ,31,34,3851,6243,3982,6524
BK,1,13,5207,6393,5936,6524
BK,17,14,5956,6243,6087,6524
BK,30,18,5207,6243,5936,6374
BK,31,34,5056,6243,5186,6524
BL,1,13,6360,6393,7089,6524
BL,17,14,7110,6243,7240,6524
BL,30,18,6360,6243,7089,6374
BL,31,34,6208,6243,6340,6524
BM,1,13,6360,5915,7089,6045
BM,17,14,7110,5764,7240,6045
BM,30,18,6360,5764,7089,5895
BM,31,34,6208,5764,6340,6045
BN,1,13,5207,5915,5936,6045
BN,17,14,5956,5764,6087,6045
BN,30,18,5207,5764,5936,5895
BN,31,34,5054,5764,5186,6045
BO,1,13,4003,5915,4731,6045
BO,17,14,4752,5764,4884,6045
BO,30,18,4003,5764,4731,5895
BO,31,34,3851,5764,3982,6045
BP,1,7,3039,5915,3525,6045
BP,11,8,3544,5764,3677,6045
BP,18,12,3039,5764,3525,5895
BP,19,22,2888,5764,3020,6045
CA,44,1,4425,1924,4560,4582
CA,45,88,4575,1924,4710,4582
CB,44,1,4805,1924,4940,4582
CB,45,88,4955,1924,5090,4582
CC,44,1,5185,1924,5320,4582
CC,45,88,5335,1924,5470,4582
CD,44,1,5565,1924,5700,4582
CD,45,88,5715,1924,5850,4582
CE,44,1,5945,1924,6080,4582
CE,45,88,6095,1924,6230,4582
CF,44,1,6320,1924,6455,4582
CF,45,88,6470,1924,6605,4582
CG,44,1,6695,1924,6830,4582
CG,45,88,6845,1924,6985,4582
CH,44,1,7075,1924,7210,4582
CH,45,88,7225,1924,7360,4582
CI,44,1,7455,1924,7590,4582
CI,45,88,7605,1924,7740,4582
CJ,44,1,7835,1924,7970,4582
CJ,45,88,7985,1924,8120,4582
CK,44,1,8215,1924,8350,4582
CK,45,88,8365,1924,8500,4582
CL,44,1,8592,1924,8727,4582
CL,45,88,8742,1924,8877,4582
CM,44,1,8969,1924,9104,4582
CM,45,88,9119,1924,9254,4582
CN,44,1,9349,1924,9484,4582
CN,45,88,9499,1924,9634,4582
CO,44,1,9729,1924,9864,4582
CO,45,88,9879,1924,10014,4582
CP,15,1,10109,3771,10244,4582
CP,16,30,10259,3771,10394,4582
CP,36,31,10109,3214,10244,3723
CP,37,42,10259,3214,10394,3723
